﻿Name,Frequency,CountryCode
EROL,765,DE
MUSTAFA,765,AT
SİYAMİ,764,TR
MÜKERREM,763,TR
FAHREDDİN,762,TR
NASRETTİN,761,TR
YASİR,761,SY
TAŞTAN,759,TR
ASAF,755,TR
KADİM,753,TR
ŞAHAP,753,TR
HAYREDDİN,749,TR
NAYİF,748,TR
HAZİM,747,TR
GAFUR,746,TR
TEYMUR,746,TR
ABDULHALİK,745,TR
DÜNDAR,741,TR
MUSTAN,741,TR
ÜBEYİT,739,TR
YONUS,737,TR
MEHMET VEYSİ,735,TR
ABİD,733,SY
MEHMET ZİYA,728,TR
BERAT,727,TR
İZETTİN,726,TR
ABDULLA,725,TR
VAHYETTİN,725,TR
TUGAY,724,TR
HALİLİBRAHİM,723,TR
ERSEN,719,TR
ZÜLKİF,716,TR
HALAF,715,SY
KEKO,714,TR
CEMAL,712,DE
RAHMAN,711,TR
MAHMUT NEDİM,708,TR
ÇAPAN,708,TR
ALPAY,707,TR
İSMET,706,DE
MEHMET FARUK,705,TR
YÜSÜF,704,TR
BABA,703,TR
MASUM,701,TR
SEVDİN,701,TR
ALİ GALİP,699,TR
SEYFEDDİN,699,TR
CUMAALİ,697,TR
SALİH,697,DE
YUSUF,697,BG
BEYHAN,696,TR
ABDULLATİF,693,SY
GENÇAĞA,692,TR
TEFİK,692,TR
ABDULVAHİT,691,TR
YASİN,690,SY
ZEKERYA,688,TR
İNAN,688,TR
KAAN,683,TR
ABDURREZZAK,681,TR
MUHTAR,681,TR
ÖMER,678,BG
AYHAN,677,DE
ZEYDİN,676,TR
MEHMET HANEFİ,675,TR
MÜLAZİM,675,TR
RAMAZAN,675,SY
ULAŞ,672,TR
ŞEMSİ,671,TR
ADEM,669,DE
CEBBAR,669,TR
GÖKSAL,667,TR
TUNAY,667,TR
AHMET,666,NL
KERAMETTİN,666,TR
ZEKAYİ,666,TR
HAMDİN,665,TR
MEHMET HADİ,665,TR
MEHMET ATA,664,TR
AHMET NURİ,663,TR
HAKKİ,663,TR
SİLO,663,TR
ZEKERİYYA,660,TR
ÖZDEN,660,TR
GÖKAY,658,TR
GÜLALİ,655,TR
HATEM,654,TR
ALİ,652,NL
FAYİK,652,TR
SAİD,652,SY
SİRAÇ,650,TR
YEMEN,649,TR
ABDÜLHAMİT,648,TR
NADİM,646,TR
BAYRAM,644,DE
MÜFİT,644,TR
SÜLEYMAN,644,BG
İSKAN,644,TR
TOSUN,641,TR
HACİ ALİ,640,TR
SACİT,640,TR
MEHMET ALİ,638,DE
İBO,637,TR
EMİRHAN,636,TR
RACİ,630,TR
ABDURREZZAK,627,SY
ALİBEY,625,TR
MEHMET NECATİ,625,TR
ALİ CAN,620,TR
APDULLAH,620,TR
BİRCAN,619,TR
BEDİ,618,TR
GENCO,617,TR
MÜRTEZA,617,TR
ABDULSEMET,616,TR
ERDİ,616,TR
HAKİ,615,TR
ALİ,612,BE
BEHRAM,612,TR
HAKAN,611,DE
YEMLİHA,611,TR
