Surname,Frequency
KAZAK,1160
İŞİK,1160
GÜRLEK,1156
ALAKUŞ,1151
KAYAOĞLU,1148
KÜÇÜKOĞLU,1148
İÇÖZ,1147
ERKAL,1145
GERÇEK,1145
KENAR,1143
ERDİL,1142
SÜNBÜL,1142
KOLAY,1140
DÖLEK,1139
GÖKÇEK,1138
KÜÇÜKKAYA,1138
AKMEŞE,1137
CİHANGİR,1137
TÜRKÖZ,1135
ÇERİ,1133
EVCİ,1132
ERİK,1131
TOKAY,1131
ÇUBUK,1131
ÜRÜN,1130
KALAFAT,1129
KAPUCU,1127
AKHAN,1126
ARAÇ,1126
GÜVERCİN,1126
ALATAŞ,1125
DUYMAZ,1125
TAŞTEKİN,1125
CANKURT,1123
CİVAN,1121
HOROZ,1120
SİPAHİ,1120
TUNÇAY,1118
BÖLÜKBAŞ,1117
ELBİR,1116
GÖZÜTOK,1116
AYKAN,1115
OKCU,1115
ÜNALAN,1115
EKMEN,1114
KARALAR,1113
TOKSOY,1111
ERMAN,1110
KARAGÜL,1109
DUR,1107
VAR,1107
AYBAR,1105
ÖLÇER,1105
BİLDİK,1103
İŞÇİ,1103
ÜRKMEZ,1102
GÜRGEN,1100
TAYFUR,1100
BERBEROĞLU,1099
TOPKAYA,1099
DEMİROK,1097
KÖSEM,1096
CEVİZ,1095
ERTUNÇ,1095
TURNA,1094
BAYDEMİR,1093
KARATEKE,1093
SABUNCU,1092
GÜLTEN,1088
SELEK,1088
PELİT,1087
AKAGÜNDÜZ,1085
EMEK,1084
YEŞİLTAŞ,1084
DİNDAR,1081
YAĞAN,1081
İÇEN,1080
KALELİ,1079
MORKOÇ,1078
ÇENGEL,1076
ATİLA,1074
DELEN,1074
KANAR,1074
AYTAR,1073
BÖLÜK,1073
KORUCU,1073
DEMİREZEN,1072
İMAMOĞLU,1072
CURA,1068
KULAK,1068
GEÇGEL,1063
ELİK,1058
BİROL,1057
ERAT,1057
TOKDEMİR,1055
SÜZEN,1053
AKPOLAT,1051
DİLSİZ,1049
İSPİR,1049
İSKENDER,1048
ALTUNKAYNAK,1046
ARKAN,1046
AFACAN,1043
GÖÇ,1043
ERÇETİN,1042
EKİM,1041
SOYKAN,1039
GÖRMÜŞ,1038
BENEK,1035
KALEM,1034
ÜZER,1034
URHAN,1033
ŞEVİK,1028
GÜLBAHAR,1027
EKMEKCİ,1026
PERÇİN,1026
ERHAN,1025
BULAT,1024
CAYMAZ,1024
SERÇE,1023
BELEN,1022
MENTEŞE,1022
DEĞERLİ,1021
YETGİN,1020
BOR,1019
TAŞKAN,1019
ŞENSES,1019
BEKDEMİR,1016
KANMAZ,1016
ALVER,1015
EREZ,1015
EVRAN,1014
KUŞÇU,1014
ÇİLOĞLU,1010
BAYKAN,1009
MANAV,1007
ÖTER,1007
AKSAN,1006
EVİN,1005
ÇUKUR,1005
KORKUSUZ,1004
SU,1004
YÜCEDAĞ,1004
PALTA,1002
ÖZPOLAT,1001
TURUNÇ,1000
BAYTAR,999
YÜREK,999
ALAY,998
BUĞDAY,998
GÖKSEL,998
KESİK,998
SARUHAN,998
AYCAN,997
BURAN,997
TÜRKMENOĞLU,997
ÇUHADAR,997
BAYKUŞ,996
SİNCAR,994
TÖRE,994
UTKU,994
YAMAK,993
BUCAK,989
YAHŞİ,987
BAŞYİĞİT,986
TEKEŞ,983
DÜZEN,982
EDİZ,982
ONAR,980
TEKBAŞ,978
KABAN,977
ŞAHİNKAYA,977
KOPARAN,976
ÖZENÇ,976
SÜTCÜ,974
TANDOĞAN,974
TÜRKKAN,974
YEŞİLBAŞ,973
ASAR,972
DOLU,972
SARAL,971
GÖZ,970
TUTUŞ,970
ARSLANTÜRK,969
DAĞHAN,969
SEÇGİN,969
ÇAĞAN,968
KASAPOĞLU,967
CİRİT,964
BİNGÜL,963
MAZLUM,963
AKÇAM,962
GÜRSEL,962
ATİLLA,961
KUMAŞ,961
ÇEKEN,961
ÖZLER,961
BARLAS,958
GÖZEN,957
ERCİYAS,955
KABASAKAL,955
GÜLENÇ,953
OYMAK,953
KAVAL,952
ANAR,951
TOKSÖZ,951
KAHYAOĞLU,949
BİRGÜL,947
HAS,947
ÖZDAĞ,946
AZAK,945
SOY,944
ALTUNER,942
ÜÇÜNCÜ,942
GÜLOĞLU,941
KOÇHAN,939
ÖNCÜL,939
OĞURLU,938
İŞBİLİR,938
ŞİMŞİR,938
DEVELİ,936
BALİ,934
